instrument,desired_scope,seed_status,targeted_acquisition_need
Companies and business formation,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Digital commerce,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Commercial Courts,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Civil Transactions,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Bankruptcy,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Arbitration,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Enforcement,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Evidence,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Sharia Pleadings,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Documentation,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Legal Practice,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Judicial Costs,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Registered Mortgage,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Real Estate Finance,commercial_civil_15_25,present_untrusted,authoritative_article_count_and_manual_samples
Secured Transactions,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Consumer Protection,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Competition,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Agency and Distribution,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Intellectual Property commercial rules,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
Electronic Signatures,commercial_civil_15_25,missing_targeted_acquisition,official_machine_readable_source_or_manual_authority_record
