dataset_law_name,official_source_authority,official_source_url,official_title,official_status,publication_date,effective_date,latest_amendment_information,dataset_article_count,official_article_count,manually_reviewed_article_samples,discrepancies,reconciliation_status,eligible_for_kawaneen_v1_statutory_corpus,manual_review_notes,reviewer_type,human_verified,external_review_process_status,external_review_artifact_sha256
نظام المحاكم التجارية,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/38334008-3b70-4c6c-b3af-aba3016a8061/1,نظام المحاكم التجارية,active,1441/08/24,60 days after publication,At least Article 16(3) amended by Royal Decree M/191 dated 1444/11/29; full amendment audit not completed,95,96,external independent AI source review completed: 5/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 95 vs official numbered articles through Article 96; at least one missing/grouped/structurally mismatched unit requires source-text sampling; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity verified. Compare Article 1, early/middle/late samples and a collision sample against local canonical text before v1 eligibility. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام المعاملات المدنية,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,نظام المعاملات المدنية,active,1444/12/01,180 days after publication,Focused review did not establish a complete later-amendment history; verify before gold release,399,721,external independent AI source review completed: 1/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 399 vs official numbered articles through Article 721: major incompleteness/structural mismatch; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 721 verified. This source must remain non-gold until representative local text is compared with official articles. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام الإفلاس,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/68204119-84f1-4789-8fad-a9ec014c3788/1,نظام الإفلاس,active,1439/05/28,"From issuance of implementing regulations, no later than 180 days after publication",not_verified,152,231,external independent AI source review completed: 3/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 152 vs official numbered articles through Article 231: major incompleteness/structural mismatch; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication and final Article 231 verified. Implementing regulations were later issued; sample-text comparison and full amendment audit remain required. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام التحكيم,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1,نظام التحكيم,active,1433/07/18,30 days after publication,Article 10(1) and Article 50(1)(b) amended by Royal Decree M/21 dated 1447/01/26; full amendment audit not completed,45,58,external independent AI source review completed: 4/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 45 vs official numbered articles through Article 58: incomplete/structurally mismatched; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 58 verified. Compare representative local text, including amended/collision material, before v1 eligibility. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام التنفيذ,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c81ba2f1-1bf1-443b-9b1c-a9a700f27110/1,نظام التنفيذ,active,1433/10/13,180 days after publication,not_verified,70,98,external independent AI source review completed: 4/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 70 vs official numbered articles through Article 98: major incompleteness/structural mismatch; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 98 verified. Full amendment audit and representative local text comparison remain required. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام الإثبات,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/2716057c-c097-4bad-8e1e-ae1400c678d5/1,نظام الإثبات,active,1443/06/04,180 days after publication,not_verified,127,129,external independent AI source review completed: 5/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 127 vs official numbered articles through Article 129: small count mismatch still requires structural/text reconciliation; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 129 verified. Compare representative local articles before v1 eligibility. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام المرافعات الشرعية,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0eaae46-9f84-40ee-815e-a9a700f268b3/1,نظام المرافعات الشرعية,active,1435/02/03,From publication date,Articles 212-217 repealed by Royal Decree M/191 dated 1444/11/29; BOE also records deleted provisions under Royal Decree M/101 dated 1442/11/14; full amendment audit not completed,189,242 numbered positions; some provisions repealed/deleted,external independent AI source review completed: 5/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 189 vs official numbering through Article 242; current active count is amendment-sensitive and cannot be inferred from final article number alone; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final numbering verified. Must use amendment-aware comparison rather than treating 242 as active article count. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام التوثيق,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/40754577-f250-47f6-8a5a-abf600af7d72/1,نظام التوثيق,active,1441/11/26,180 days after publication,"BOE records Article 11(6) and Article 12 amended by Royal Decree M/21 dated 1447/01/26, and Article 15(8) amended by Royal Decree M/191 dated 1444/11/29; full amendment audit not completed",52,57,external independent AI source review completed: 4/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 52 vs official numbered articles through Article 57: incomplete/structurally mismatched; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 57 verified. Compare current amended article samples before v1 eligibility. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام المحاماة,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f42655be-79b0-4fd4-bb90-a9a700f26a3e/1,نظام المحاماة,active,1422/07/28,90 days after publication,Article 25 repealed by Royal Decree M/191 dated 1444/11/29; current BOE text includes later-added foreign law office chapter through Article 55; full amendment audit not completed,48,55 current numbered positions; amendment-aware count required,external independent AI source review completed: 3/5 historically reviewable targets; corrected exporter now has exact target-presence controls,"Local seed count 48 cannot be compared naively with the current amended structure, which extends through Article 55 and contains later additions/repeals; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain",present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity verified. Reconciliation must use current amendment-aware structure and representative local text. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
نظام التكاليف القضائية,Bureau of Experts,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/3e368087-7b31-46e7-8005-ada100b8f703/1,نظام التكاليف القضائية,active,1443/02/10,180 days after publication,not_verified,22,23,external independent AI source review completed: 5/5 historically reviewable targets; corrected exporter now has exact target-presence controls,Local seed count 22 vs official numbered articles through Article 23: one-count mismatch requires structural/text reconciliation; external review confirms representative consistency where historically exported correctly; local completeness/amendment limits remain,present_partial_reviewed_not_eligible,not_eligible,"Official BOE identity/status/publication/effectivity and final Article 23 verified. Note that the uploaded 3-page PDF is the implementing regulation, not the 23-article parent law. External independent AI source review is complete, not human legal-expert verification; this remains a controlled negative statutory eligibility decision.",independent_ai_source_review,false,completed_with_documented_partial_result,a713fc86e7cd790470b55fff89f089f01977330304424e72d0b857e938bf5e75
