source_id,source_name,publisher,original_publisher,jurisdiction,source_type,description,task,language,size,size_unit,file_format,content_unit,citation,source_url,evidence_url,evidence_type,evidence_summary,provenance,known_quality_issues,contains_personal_data,access_status,requires_auth,licence_status,licence_name,licence_evidence_url,permission_evidence_url,terms_url,access_method,automated_access_permission,dataset_licence,commercial_use,derivatives,paper_licence,code_licence,original_source_rights,public_display_permission,model_training_permission,public_demo_permission,attribution_required,source_role,authority_level,privacy_risk,decision,verification_date,conditions,required_rights,manual_action,notes,split_info
alarb,ALARB Arabic Legal Argument Reasoning Benchmark,THIQAH-RD,Saudi commercial courts,Saudi Arabia,dataset,"Arabic benchmark of commercial court cases with facts, reasoning, verdicts, and cited clauses.",verdict prediction; reasoning completion; regulation identification,Arabic,13341,records,Parquet,case,https://doi.org/10.18653/v1/2025.arabicnlp-main.32,https://huggingface.co/datasets/THIQAH-RD/ALARB,https://aclanthology.org/2025.arabicnlp-main.32/,dataset_card_and_paper,"The dataset card declares Apache-2.0, Arabic, Parquet, and train/test configurations; the paper defines the evaluation tasks and Saudi commercial-case provenance.",HF dataset card plus ACL paper; underlying court-record permissions are not independently established.,Original-record rights and privacy mitigation were not independently inspected; dataset-card declarations are not court permission.,unknown,public,no,confirmed,Apache-2.0,https://huggingface.co/datasets/THIQAH-RD/ALARB,https://huggingface.co/datasets/THIQAH-RD/ALARB,,public_download,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,benchmark,academic,high,evaluation_only,2026-08-06,,Original-record rights; PII mitigation; public-display and demo permissions.,"Confirm original-record rights, PII mitigation, public-display and demo permissions before any redistribution.",Declared dataset licence is recorded separately from original-source and privacy rights.,Train: 12012; test: 1329.
arablegaleval,ArabLegalEval,THIQAH,Saudi legal documents and synthesized questions,Saudi Arabia,dataset,Multitask benchmark for Arabic legal knowledge with document-derived and synthesized questions.,legal knowledge evaluation; classification; question answering,Arabic,27032,records,Parquet,benchmark record,https://arxiv.org/abs/2408.07983,https://huggingface.co/datasets/THIQAH-RD/ArabLegalEval,https://huggingface.co/datasets/THIQAH-RD/ArabLegalEval,dataset_card_and_paper_and_code,"The Hugging Face card identifies 27032 Parquet rows across ArLegalBench, MCQs, and QA; the paper and exact GitHub repository describe the benchmark and code separately.","Hugging Face dataset release, paper, and exact GitHub code repository are tracked as separate records of evidence.","Dataset, code, and source-document rights are unresolved; synthetic questions do not resolve rights in source documents.",unknown,public,unknown,missing,,,https://arxiv.org/abs/2408.07983,,repository,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,benchmark,academic,high,metadata_only,2026-08-06,,Dataset licence; code licence; source-document rights; privacy; access conditions.,Inspect the Hugging Face dataset card and GitHub repository licence files separately without assuming either release grants rights.,Dataset release: https://huggingface.co/datasets/THIQAH-RD/ArabLegalEval; code release: https://github.com/Thiqah/ArabLegalEval.,Subsets: ArLegalBench; MCQs; QA.
saudi-9699,Saudi 9699-case summarisation and classification corpus,Omar T. Sayed et al.,Saudi Board of Grievances,Saudi Arabia,dataset,Published corpus pairing full court decisions with human abstractive summaries and three category labels.,summarisation; classification,Arabic,9699,cases,unknown,case,https://doi.org/10.3390/data11070154,https://www.mdpi.com/2306-5729/11/7/154,https://github.com/0marTarek/Arabic-legal-Summarization-and-classification,paper_and_repository,"The MDPI paper records 9,699 Saudi cases, Administrative/Commercial/Criminal categories, and full decisions with human summaries; the exact repository is recorded and has no verified dataset licence.",Paper attributes original cases to the Saudi Board of Grievances; repository is the author release path.,Repository dataset licence and original court-record rights are missing; privacy and technical quality require review.,unknown,public,unknown,missing,,,https://www.mdpi.com/2306-5729/11/7/154,,repository,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,benchmark,academic,high,blocked_pending_review,2026-08-06,,Dataset licence; original-source rights; privacy; training and display rights; access conditions.,Obtain the repository licence and written permission or a documented legal basis for case-text reuse; confirm training and display rights.,Paper and repository are canonical records; no dataset downloaded.,Train: 7759; test: 1940; categories: Administrative 6727; Commercial 2035; Criminal 937.
alcd,ALCD 3170-case dataset,Soha Zarbah et al.,Saudi Board of Grievances,Saudi Arabia,dataset,"Arabic case dataset containing case text, summaries, keywords, and categories.",classification; information extraction; summarisation; question answering,Arabic,3170,cases,CSV,case,https://doi.org/10.1016/j.dib.2025.112429,https://www.kaggle.com/datasets/sohaasiri/arabic-lega-case-dataset,https://www.sciencedirect.com/science/article/pii/S2352340925011424,data_paper_and_dataset,"The Data in Brief article records 3,170 cases, 47 classes, Saudi provenance, CSV data, and summaries/keywords/categories; the Kaggle DOI is 10.34740/KAGGLE/DSV/10529826.",Paper says cases were collected from the Board of Grievances judgments page and published on Kaggle.,"Kaggle dataset licence could not be verified; paper CC BY applies to the article, not automatically to the dataset or court records; OCR and cleansing quality concerns remain.",unknown,public,unknown,missing,,,https://www.kaggle.com/datasets/sohaasiri/arabic-lega-case-dataset,,repository,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,benchmark,academic,high,blocked_pending_review,2026-08-06,,"Verify Kaggle dataset licence, source rights, privacy, and automated access before acquisition or quoting.",Request or verify the Kaggle licence and Board of Grievances reuse terms; do not treat the article CC BY as dataset permission.,Kaggle DOI: https://doi.org/10.34740/KAGGLE/DSV/10529826.,"Article reports CSV; the paper describes 47 classes and summaries, keywords, and categories."
arabiccr,ArabiCCR,ArabiCCR authors,Saudi Ministry of Justice,Saudi Arabia,dataset,Arabic commercial court rulings with citation-oriented structured fields.,case citation; commercial case analysis; classification,Arabic,12806,cases,CSV/XLSX,case,https://doi.org/10.1016/j.dib.2026.112844,https://data.mendeley.com/datasets/np538c95yy/3,https://data.mendeley.com/datasets/np538c95yy/3,mendeley_data_and_data_paper,"Mendeley Data version 3, published 2026-05-26, declares CC BY 4.0 and provides the current CSV/XLSX release metadata; the paper claims anonymisation.","Data paper states an initial 14,857 records and 12,806 final commercial cases sourced from the Saudi Ministry of Justice portal; current Mendeley release is version 3.",Anonymisation is a claim until files are inspected; original MOJ rights and public demonstration rights are not established by the Mendeley licence.,conditional,public,no,confirmed,CC BY 4.0,https://data.mendeley.com/datasets/np538c95yy/3,https://data.mendeley.com/datasets/np538c95yy/3,,public_download,unknown,yes,unknown,unknown,yes,unknown,unknown,conditional,conditional,conditional,yes,primary_corpus,academic,high,local_research_only,2026-08-06,Use only after inspecting redaction and confirming original-source permissions; public display requires separate approval.,Original MOJ rights; PII inspection; public-display and public-demo permission; model-training decision.,Inspect the current Mendeley version 3 files and obtain confirmation that the claimed anonymisation and source rights support the intended use.,Version 3; DOI 10.17632/np538c95yy.3; published 2026-05-26; current CSV/XLSX release.,Current release metadata: CSV/XLSX; published 2026-05-26.
saudi-moj-open,Saudi Ministry of Justice designated open data,Saudi Ministry of Justice,Saudi Ministry of Justice,Saudi Arabia,official_open_data,MOJ open-data library and datasets published through Saudi open-data channels.,aggregate statistics; metadata; possible future text-data candidate,Arabic,unknown,unknown,unknown,record,https://www.moj.gov.sa/English/opendata/Pages/library.aspx,https://www.moj.gov.sa/English/opendata/Pages/library.aspx,https://www.moj.gov.sa/english/opendata/pages/opendatapolicy.aspx,official_library_and_policy,"The MOJ library and policy identify an open-data route; the national licence permits reuse subject to attribution and notices, but item-level metadata controls.",Named government publisher; no text-bearing dataset selected or downloaded.,"Most visible open-data items are aggregate statistics, not a legal-text corpus; item-level privacy and licence review remains required.",unknown,public,unknown,conditional,Saudi Open Data License,https://open.data.gov.sa/odp-public/static/ar/assets/Open_Data_License_Ar.pdf,https://www.moj.gov.sa/english/opendata/pages/opendatapolicy.aspx,https://www.moj.gov.sa/english/opendata/pages/opendatapolicy.aspx,public_download,conditional,conditional,conditional,conditional,unknown,unknown,unknown,conditional,conditional,conditional,yes,reference,official,medium,conditional,2026-08-06,"Attribution, licence notices, item-level terms, and privacy classification are required.","Identify a named text-bearing item and verify it is licensed for automated acquisition, processing, indexing, quotation, and demo.",Select a specific item from the library and record its dataset card and terms before treating it as a corpus.,Candidate route only; not the primary corpus.,National licence is not a blanket licence for general MOJ portal content.
saudi-moj-portal,Saudi Ministry of Justice general portal content,Saudi Ministry of Justice,Saudi Ministry of Justice,Saudi Arabia,official_portal,"General MOJ pages, laws, circulars, services, and public content outside a designated dataset.",reference and manual legal research,Arabic,unknown,unknown,HTML,page,https://www.moj.gov.sa/English/Ministry/Pages/default.aspx,https://www.moj.gov.sa/English/opendata/Pages/opendatapolicy.aspx,https://www.moj.gov.sa/english/opendata/pages/opendatapolicy.aspx,official_policy,The open-data policy applies to designated open data; it does not establish reuse rights for all general portal content.,Government portal authority is established; no corpus item was copied.,Public visibility is not a redistribution or automated-access grant; copyright and quotation limits remain unresolved.,unknown,public,unknown,unknown,,,https://www.moj.gov.sa/english/opendata/pages/opendatapolicy.aspx,,public_web,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,reference,official,medium,metadata_only,2026-08-06,,Obtain page-specific reuse and automated-access permission for any copied text.,Keep as a reference lead only; do not use general portal pages as the primary corpus.,Open-data policy and portal content are separate rights layers.,Not applicable.
saudi-bog-open,Saudi Board of Grievances open data,Saudi Board of Grievances,Saudi Board of Grievances,Saudi Arabia,official_open_data,Board open-data catalogue and use policy covering published aggregate judicial statistics and possible source pages.,aggregate statistics; metadata,Arabic,unknown,unknown,unknown,record,https://www.bog.gov.sa/EServices/OpenData/Pages/AboutOpenData.aspx,https://www.bog.gov.sa/EServices/OpenData/Pages/UsageGuide.aspx,https://www.bog.gov.sa/ScientificContent/JudicialBlogs/Pages/JudgmentsDefault.aspx,official_catalogue_and_policy,"The catalogue describes cases, incoming cases, completed cases, judgments, and hearings as open-data statistics; the usage guide requires source attribution and prohibits distortion.",Official Board catalogue and usage guide; no case payload accessed.,The identified open-data content is aggregate and does not itself establish a reusable full-text judgment corpus; access and privacy for judgment pages remain separate.,unknown,public,unknown,conditional,Board open-data usage policy,https://www.bog.gov.sa/EServices/OpenData/Pages/UsageGuide.aspx,https://www.bog.gov.sa/EServices/OpenData/Pages/UsageGuide.aspx,,public_web,conditional,conditional,conditional,conditional,unknown,unknown,unknown,unknown,unknown,unknown,yes,reference,official,medium,metadata_only,2026-08-06,Attribution and no distortion are required; item-level rights for text must be confirmed.,"Determine whether any named text-bearing catalogue item exists and obtain its access, licence, privacy, and quotation terms.",Aggregate open data is not proposed as Kawaneen's legal-text primary corpus.,"The catalogue is evidence of statistical open data, not full-text redistribution permission.",Judgments page is a separate candidate source.
saudi-boe-portal,Saudi Bureau of Experts legislation portal,Saudi Bureau of Experts,Saudi Bureau of Experts,Saudi Arabia,official_portal,Official Saudi legislation portal and its terms of use.,reference legal texts,Arabic,unknown,unknown,HTML,page,https://www.boe.gov.sa/en,https://www.boe.gov.sa/en/Pages/TermsOfUse.aspx,https://www.boe.gov.sa/en/Pages/TermsOfUse.aspx,official_terms,Terms describe personal use and restrictions on unreasonable load; no general redistribution or automated-access permission was found.,Official Bureau portal is authoritative for displayed legislation; terms govern portal use.,No standalone open-data licence was verified; automation and corpus mirroring are not approved.,unknown,public,unknown,conflicting,,,https://www.boe.gov.sa/en/Pages/TermsOfUse.aspx,,public_web,no,no,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,reference,official,medium,excluded,2026-08-06,,"Written permission or a machine-readable licence for copying, automation, quotation, and demo.",Do not automate or mirror under current terms; seek written permission if needed.,Official authority does not resolve reuse rights.,Not applicable.
egypt-court-cassation,Egyptian Court of Cassation,Egyptian Court of Cassation, Egyptian Court of Cassation,Egypt,official_portal,Official Court of Cassation legal-information site with subscriber access to full decisions and principles.,reference legal texts,Arabic,unknown,unknown,HTML/PDF,page,https://cc.gov.eg/,https://cc.gov.eg/terms,https://cc.gov.eg/terms,official_terms,"The May 2026 terms permit legal, academic, research, and documentary viewing/copying; prohibit commercial or unapproved publication; require subscription access; and prohibit unlawful extraction.",Court site and exact May 2026 terms page.,"Terms do not grant automated corpus acquisition, public redistribution, commercial use, or demo rights.",unknown,gated,conditional,conditional,Site terms,https://cc.gov.eg/terms,https://cc.gov.eg/terms,https://cc.gov.eg/terms,request,no,no,no,no,unknown,unknown,unknown,no,conditional,no,unknown,reference,official,high,local_research_only,2026-08-06,Legal/academic/research use only; subscription and Court controls apply.,Confirm account/access terms and obtain written permission before automated extraction or public quotation.,May 2026 terms are the canonical access and copyright evidence.,Not a public-demo or primary-corpus candidate under current terms.,Exact terms page last updated May 2026.
